CAR TYPE,CC AND FUEL TYPE,ASSEMBLER,BRAND,TYPE / MODEL,CC,TRANS,"FUEL (G/D)","TANK CAPT","GVW (Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL BASE","DIMENSION P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Segmt Share,Sedan Share,TOTAL 2020
,,,,Xpander 1.5L (4X2) AT BLACK EDITION,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,3,103,289,3,"0,1%","0,1%",398
,,,,Xpander Croos 1.5L (4X2) BLACK EDITION,1499,AT,G,45,1840,4375,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,173,320,1,-,"0,2%","0,1%",494
,,,,Xpander 1.5 2WD 4AT P+ PHL,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,69,1.470,1.108,94,-,-,-,-,-,-,279,579,"1,1%","0,9%",3.599
,,,,Xpander 1.5 2WD 5MT M SN,1499,MT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,20,20,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",40
,,,,Xpander 1.5 2WD 5MT M PE,1499,MT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,142,178,-,-,-,-,-,-,-,-,-,"0,1%","0,1%",320
,,,,Xpander 1.5 2WD 4AT H PE,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,52,30,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",82
,,,,Xpander 1.5 2WD 4AT P SN,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,20,21,5,-,-,-,-,35,-,-,-,"0,0%","0,0%",81
,,,,Xpander 1.5 2WD 4AT P MMTH,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,2.253,1.002,20,-,-,-,22,513,1.250,1.840,1.010,"2,4%","2,0%",7.910
,,,,Xpander 1.5 2WD 4AT Q VET,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,568,248,356,-,-,7,246,295,688,290,874,"1,1%","0,9%",3.572
,,,,Xpander 1.5 2WD 4AT P NP,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,-,20,10,-,-,6,-,-,-,-,-,"0,0%","0,0%",36
,,,,Xpander 1.5 2WD 4AT H GCC,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,17,65,17,"0,0%","0,0%",99
,,,,Xpander 1.5 2WD 4AT M GCC,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,8,70,23,"0,0%","0,0%",101
,,,,Xpander 1.5 2WD 4AT H SAU,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,3,-,296,"0,1%","0,1%",299
,,,,Xpander 1.5 2WD 4AT M SAU,1499,AT,G,45,1780,4375,205/55 R17,104,2775,4500 X 1750 X 1800,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,2,-,-,"0,0%","0,0%",2
,,,,Livina E 1.5 (4x2) M/T,1499,MT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA,8,-,-,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",8
,,,,Livina VE 1.5 (4x2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA,297,-,-,-,-,-,-,-,-,-,-,-,"0,1%","0,1%",297
,,,,Livina VL 1.5 (4x2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA,1.206,71,-,-,-,-,-,-,-,-,-,-,"0,4%","0,3%",1.277
,,PT. Suzuki Indomobil Motor,SUZUKI,APV0GE,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,235,308,122,100,70,-,50,129,80,29,85,1,"0,4%","0,3%",1.209
